"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)"," 7.32","0.19"," 6.96","7.66","  NA",NA,"   NA",39.317899881979,0
"conditionNCOM"," 0.12","0.18","-0.22","0.46","  NA",NA,"   NA",0.647465716486855,0.517330575958524
"outcomeIDENTITY","-0.07","0.18","-0.40","0.26","  NA",NA,"   NA",-0.392915792216663,0.694381677221977
"outcomeLOCATION"," 0.22","0.19","-0.12","0.57","  NA",NA,"   NA",1.15650969367081,0.247472736852969
"object_pos_outcomeup"," 0.31","0.12"," 0.08","0.55","6.14",1,"0.013",2.54678218509466,0.0108721270500581
"z.trial2"," 0.05","0.05","-0.06","0.16","  NA",1,"   NA",0.928239669874894,0.353283260931533
"conditionNCOM:outcomeIDENTITY"," 0.08","0.25","-0.38","0.54","1.84",2,"0.399",0.339654203302085,0.734116953846115
"conditionNCOM:outcomeLOCATION","-0.24","0.25","-0.74","0.27","  NA",NA,"   NA",-0.961627491915859,0.336236756576497
