"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)"," 7.08","0.19"," 6.73","7.38","  NA",NA,"   NA",38.0800376424305,0
"conditionNCOM"," 0.13","0.18","-0.23","0.48","  NA",NA,"   NA",0.721650353963408,0.470509472393571
"outcomeIDENTITY"," 0.05","0.18","-0.32","0.39","  NA",NA,"   NA",0.272390638323307,0.785321670197417
"outcomeLOCATION"," 0.18","0.19","-0.21","0.50","  NA",NA,"   NA",0.932832843755387,0.350906280563537
"object_pos_outcomeup"," 0.29","0.11"," 0.09","0.51","6.69",1,"0.010",2.65634891056911,0.00789918388567132
"z.trial2"," 0.03","0.05","-0.07","0.13","0.30",1,"0.587",0.542911818001052,0.587190518656785
"conditionNCOM:outcomeIDENTITY","-0.16","0.25","-0.61","0.36","1.05",2,"0.590",-0.620081566955432,0.535204087228961
"conditionNCOM:outcomeLOCATION","-0.25","0.24","-0.71","0.28","  NA",NA,"   NA",-1.01526053680258,0.309981650495305
