"","Estimate","SE","t","df","p","LowerCI","UpperCI","Chi2","df_LRT","p_LRT"
"(Intercept)"," 0.53","0.14"," 3.13",156.975007804616,"0.002"," 0.24"," 0.81","   NA",NA,"   NA"
"conditionNCOM","-0.31","0.20","-1.31",134.404942154683,"0.194","-0.69"," 0.08","   NA",NA,"   NA"
"outcomeIDENTITY","-0.46","0.18","-2.20",194.161082691557,"0.029","-0.80","-0.11","   NA",NA,"   NA"
"outcomeLOCATION","-0.25","0.19","-1.11",90.421466714981,"0.271","-0.63"," 0.12","   NA",NA,"   NA"
"object_pos_outcomeup","-0.51","0.13","-3.95",27.5096964979361,"0.000","-0.76","-0.26","11.87",1,"0.001"
"z.trial2","-0.11","0.06","-1.76",208.101018537073,"0.080","-0.24"," 0.00"," 3.51",1,"0.061"
"conditionNCOM:outcomeIDENTITY"," 0.77","0.26"," 2.49",179.437469594677,"0.014"," 0.25"," 1.26"," 8.87",2,"0.012"
"conditionNCOM:outcomeLOCATION"," 0.17","0.26"," 0.52",181.311065859757,"0.600","-0.31"," 0.69","   NA",NA,"   NA"
