"","Estimate","SE","t","df","p","LowerCI","UpperCI","Chi2","df_LRT","p_LRT"
"(Intercept)","-0.57","0.14","-3.64",153.419000988898,"0.000","-0.84","-0.29","   NA",NA,"   NA"
"conditionNCOM"," 0.23","0.18"," 1.11",223.589133395821,"0.269","-0.10"," 0.58","   NA",NA,"   NA"
"outcomeIDENTITY"," 0.44","0.17"," 2.25",230.990611477289,"0.025"," 0.10"," 0.77","   NA",NA,"   NA"
"outcomeLOCATION"," 0.26","0.18"," 1.36",218.726893098081,"0.176","-0.09"," 0.59","   NA",NA,"   NA"
"object_pos_outcomeup"," 0.64","0.13"," 4.63",34.0648574481688,"0.000"," 0.38"," 0.87","17.63",1,"0.000"
"z.trial2"," 0.01","0.06"," 0.20",32.2600795190061,"0.842","-0.11"," 0.12"," 0.01",1,"0.934"
"conditionNCOM:outcomeIDENTITY","-0.65","0.25","-2.31",230.380211572454,"0.022","-1.12","-0.16"," 6.64",2,"0.036"
"conditionNCOM:outcomeLOCATION","-0.23","0.25","-0.85",219.781576908221,"0.397","-0.70"," 0.23","   NA",NA,"   NA"
