"","Estimate","SE","t","df","p","LowerCI","UpperCI","Chi2","df_LRT","p_LRT"
"(Intercept)","-0.59","0.14","-3.64",141.198286728678,"0.000","-0.85","-0.31","   NA",NA,"   NA"
"conditionNCOM"," 0.19","0.19"," 0.76",212.038687545027,"0.448","-0.19"," 0.55","   NA",NA,"   NA"
"outcomeIDENTITY"," 0.37","0.18"," 1.83",218.936941428626,"0.069"," 0.02"," 0.71","   NA",NA,"   NA"
"outcomeLOCATION"," 0.29","0.18"," 1.19",215.077404656539,"0.234","-0.05"," 0.62","   NA",NA,"   NA"
"object_pos_outcomeup"," 0.66","0.14"," 4.81",33.8778030987765,"0.000"," 0.37"," 0.95","17.75",1,"0.000"
"z.trial2"," 0.04","0.06"," 0.85",30.9671889662702,"0.400","-0.08"," 0.16"," 0.56",1,"0.452"
"conditionNCOM:outcomeIDENTITY","-0.65","0.26","-2.19",217.531962687624,"0.029","-1.17","-0.15"," 7.08",2,"0.029"
"conditionNCOM:outcomeLOCATION","-0.10","0.26","-0.11",213.882213637871,"0.909","-0.59"," 0.41","   NA",NA,"   NA"
